IATA | Airport Name | Location Served
------------------------------------------------------------
AAA | Anaa Airport | Anaa,Tuamotus, French Polynesia
AAB | Arrabury Airport | Arrabury, Queensland, Australia
AAC | El Arish International Airport | El Arish, Egypt
AAD | Adado Airport | Adado(Cadaado),Galguduud, Somalia
AAE | Rabah Bitat Airport(Les Salines Airport) | Annaba, Algeria
AAF | Apalachicola Regional Airport | Apalachicola, Florida, United States
AAG | Arapoti Airport | Arapoti,Paraná, Brazil
AAH | Merzbrück Airport | Aachen, North Rhine-Westphalia, Germany
AAI | Arraias Airport | Arraias,Tocantins, Brazil
AAJ | Cayana Airstrip | Awaradam, Suriname
AAK | Aranuka Airport | Aranuka, Kiribati
AAL | Aalborg Airport | Aalborg, Denmark
AAM | Mala Mala Airport | Mala Mala, South Africa
AAN | Al Ain International Airport | Al Ain, United Arab Emirates
AAO | Anaco Airport | Anaco, Venezuela
AAP | Aji Pangeran Tumenggung Pranoto International Airport | Samarinda,East Kalimantan, Indonesia
AAQ | Anapa Airport | Anapa,Krasnodar Krai, Russia
AAR | Aarhus Airport | Aarhus, Denmark
AAS | Apalapsili Airport | Apalapsili, Indonesia
AAT | Altay Airport | Altay, Xinjiang, China
AAU | Asau Airport | Asau,Savai'i Island, Samoa
AAV | Allah Valley Airport | Surallah, Philippines
AAX | Araxá Airport | Araxá,Minas Gerais, Brazil
AAY | Al Ghaydah Airport | Al Ghaydah, Yemen
AAZ | Quetzaltenango Airport | Quetzaltenango, Guatemala
ABA | Abakan International Airport | Abakan,Republic of Khakassia, Russia
ABB | Asaba International Airport | Asaba, Nigeria
ABC | Albacete Airport | Albacete,Castilla-La Mancha, Spain
ABD | Abadan International Airport | Abadan, Iran
ABE | Lehigh Valley International Airport | Allentown, Pennsylvania, United States
ABF | Abaiang Atoll Airport | Abaiang, Kiribati
ABG | Abingdon Airport | Abingdon Downs, Queensland, Australia
ABH | Alpha Airport | Alpha, Queensland, Australia
ABI | Abilene Regional Airport | Abilene, Texas, United States
ABJ | Port Bouet Airport(Felix Houphouet Boigny Int'l) | Abidjan, Côte d'Ivoire
ABK | Kabri Dar Airport | Kebri Dahar, Ethiopia
ABL | Ambler Airport(FAA: AFM) | Ambler, Alaska, United States
ABM | Northern Peninsula Airport | Bamaga, Queensland, Australia
ABN | Albina Airstrip | Albina, Suriname
ABO | Aboisso Airport | Aboisso, Côte d'Ivoire
ABP | Atkamba Airport | Atkamba, Papua New Guinea
ABQ | Albuquerque International Sunport | Albuquerque, New Mexico, United States
ABR | Aberdeen Regional Airport | Aberdeen, South Dakota, United States
ABS | Abu Simbel Airport | Abu Simbel, Egypt
ABT | Al-Baha Domestic Airport | Al Bahah, Saudi Arabia
ABU | Haliwen Airport | Atambua, Indonesia
ABV | Nnamdi Azikiwe International Airport | Abuja, Nigeria
ABW | Abau Airport | Abau, Papua New Guinea
ABX | Albury Airport | Albury, New South Wales, Australia
ABY | Southwest Georgia Regional Airport | Albany, Georgia, United States
ABZ | Aberdeen Airport | Aberdeen, Scotland, United Kingdom
ACA | Acapulco International Airport | Acapulco,Guerrero, Mexico
ACB | Antrim County Airport | Bellaire, Michigan, United States
ACC | Kotoka International Airport | Accra, Ghana
ACD | Alcides Fernández Airport | Acandí, Colombia
ACE | Lanzarote Airport | Lanzarote,Canary Islands, Spain
ACF | Aral Talim Airport | Aral, Xinjiang, China
ACH | St. Gallen–Altenrhein Airport | Altenrhein, Switzerland
ACI | Alderney Airport | Alderney,Channel Islands, United Kingdom
ACJ | Anuradhapura Airport | Anuradhapura, Sri Lanka
ACK | Nantucket Memorial Airport | Nantucket,Massachusetts, United States
ACL | Aguaclara Airport | Aguaclara, Colombia
ACM | Arica Airport | Arica, Colombia
ACN | Ciudad Acuña International Airport | Ciudad Acuña,Coahuila, Mexico
ACO | Cobano Airport | Cóbano, Costa Rica
ACP | Sahand Airport | Maragheh, Iran
ACR | Araracuara Airport | Araracuara, Colombia
ACS | Achinsk Airport | Achinsk,Krasnoyarsk Krai, Russia
ACT | Waco Regional Airport | Waco, Texas, United States
ACU | Achutupo Airport | Achutupo, Panama
ACV | Arcata-Eureka Airport | Eureka / Arcata,California, United States
ACX | Xingyi Wanfenglin Airport | Xingyi, Guizhou, China
ACY | Atlantic City International Airport | Atlantic City, New Jersey, United States
ACZ | Zabol Airport | Zabol, Iran
ADA | Adana Şakirpaşa Airport | Adana, Turkey
ADB | Adnan Menderes Airport | İzmir, Turkey
ADC | Andakombe Airport | Andakombe, Papua New Guinea
ADD | Bole International Airport | Addis Ababa, Ethiopia
ADE | Aden International Airport | Aden, Yemen
ADF | Adıyaman Airport | Adıyaman, Turkey
ADG | Lenawee County Airport | Adrian, Michigan, United States
ADH | Aldan Airport | Aldan,Yakutia, Russia
ADI | Arandis Airport | Arandis, Namibia
ADJ | Amman Civil Airport(Marka International Airport) | Amman, Jordan
ADK | Adak Airport | Adak Island,Alaska, United States
ADL | Adelaide Airport | Adelaide, South Australia, Australia
ADM | Ardmore Municipal Airport | Ardmore, Oklahoma, United States
ADN | Andes Airport | Andes, Colombia
ADO | Andamooka Airport | Andamooka, South Australia, Australia
ADP | Ampara Airport | Ampara, Sri Lanka
ADQ | Kodiak Airport | Kodiak, Alaska, United States
ADR | Robert F. Swinnie Airport(FAA: PHH) | Andrews, South Carolina, United States
ADS | Addison Airport | Dallas,Texas, United States
ADT | Ada Municipal Airport(FAA: ADH) | Ada, Oklahoma, United States
ADU | Ardabil Airport | Ardabil, Iran
ADV | Ed Daein Airport | Ed Daein, Sudan
ADW | Andrews Field(Andrews Air Force Base) | Camp Springs, Maryland, United States
ADX | Leuchars Station(formerlyRAF Leuchars) | St Andrews, Scotland, United Kingdom
ADY | Alldays Airport | Alldays, South Africa
ADZ | Gustavo Rojas Pinilla International Airport | San Andres Island, Colombia
AEA | Abemama Atoll Airport | Abemama Atoll, Kiribati
AEB | Baise Bama Airport | Baise,Guangxi, China
AEE | Adareil Airport[1] | Adareil, South Sudan
AEG | Aek Godang Airport | Padang Sidempuan, Indonesia
AEH | Abéché Airport | Abéché, Chad
AEK | Aseki Airport | Aseki, Papua New Guinea
AEL | Albert Lea Municipal Airport | Albert Lea, Minnesota, United States
